Baseline 100%T,,R1 Sulfuric acid + Ferric Sulfate,,R2 Sulfuric acid + Ferric Sulfate,,R3 Sulfuric acid + Ferric Sulfate,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
741.0083008,0.1297932267,741.0083008,0.2991213799,741.0083008,0.1863640845,741.0083008,0.1490675807,
740.0114746,0.1292488128,740.0114746,0.297863394,740.0114746,0.1851669848,740.0114746,0.1479327679,
739.0142212,0.1291020811,739.0142212,0.2963941693,739.0142212,0.1830908209,739.0142212,0.1468849778,
738.0167236,0.1284259111,738.0167236,0.2958371639,738.0167236,0.1821405292,738.0167236,0.1455643028,
736.9832153,0.1278771162,736.9832153,0.2949323952,736.9832153,0.1811406761,736.9832153,0.1444009542,
735.9849243,0.1271824092,735.9849243,0.2935339212,735.9849243,0.1797768325,735.9849243,0.1431919634,
734.9863281,0.1259759963,734.9863281,0.2929773331,734.9863281,0.17879273,734.9863281,0.142557919,
733.9874268,0.1258356571,733.9874268,0.2911838293,733.9874268,0.1768079251,733.9874268,0.1411668658,
732.9881592,0.1248704344,732.9881592,0.2903641164,732.9881592,0.1761059165,732.9881592,0.1402001977,
731.9885254,0.1239325255,731.9885254,0.2893095315,731.9885254,0.1750431657,731.9885254,0.1394346654,
730.9885254,0.1226624325,730.9885254,0.2889411449,730.9885254,0.1737455726,730.9885254,0.1386563778,
729.9882202,0.1219282001,729.9882202,0.2873490155,729.9882202,0.1727208048,729.9882202,0.137046501,
728.9874878,0.1210763827,728.9874878,0.2867804468,728.9874878,0.1710665971,728.9874878,0.1361387521,
727.9865723,0.1203521267,727.9865723,0.2849277258,727.9865723,0.169901073,727.9865723,0.1349185705,
726.9852295,0.1193062887,726.9852295,0.2844527662,726.9852295,0.1686483175,726.9852295,0.1339184791,
725.9835205,0.118928887,725.9835205,0.2830868959,725.9835205,0.166944012,725.9835205,0.1324817985,
725.0172729,0.1177980825,725.0172729,0.2823401988,725.0172729,0.166258797,725.0172729,0.13185516,
724.0148926,0.1170810014,724.0148926,0.281594336,724.0148926,0.165113017,724.0148926,0.1304059178,
723.012207,0.1164570227,723.012207,0.2805846632,723.012207,0.1637828797,723.012207,0.1292690933,
722.0090942,0.1158719286,722.0090942,0.2793278992,722.0090942,0.1620913297,722.0090942,0.1279277205,
721.0057373,0.1149916127,721.0057373,0.2783344388,721.0057373,0.1605729461,721.0057373,0.1267532557,
720.0020142,0.1142226458,720.0020142,0.2769043446,720.0020142,0.1591114998,720.0020142,0.1254365444,
718.9979248,0.1137230843,718.9979248,0.275452137,718.9979248,0.1578309834,718.9979248,0.1242587119,
717.9935303,0.1129732355,717.9935303,0.274104178,717.9935303,0.1562888622,717.9935303,0.1228609309,
716.9887695,0.1123666987,716.9887695,0.2729378641,716.9887695,0.1550235301,716.9887695,0.1216928884,
715.9837036,0.1115438193,715.9837036,0.271838516,715.9837036,0.1536504477,715.9837036,0.1203511357,
715.0141602,0.1110550836,715.0141602,0.2704167962,715.0141602,0.1521288306,715.0141602,0.1190818921,
714.0083618,0.1103046909,714.0083618,0.2691857517,714.0083618,0.1507808566,714.0083618,0.1178319678,
713.0023193,0.1097696126,713.0023193,0.2678839266,713.0023193,0.1493327022,713.0023193,0.1165292934,
711.9959106,0.1091620699,711.9959106,0.2669041157,711.9959106,0.1479694545,711.9959106,0.1151308194,
710.9891357,0.1088035852,710.9891357,0.265327245,710.9891357,0.1460074633,710.9891357,0.1135295555,
709.9820557,0.1083385199,709.9820557,0.2641351223,709.9820557,0.1449853182,709.9820557,0.1124425158,
709.0106201,0.1080770567,709.0106201,0.2629393041,709.0106201,0.1438397169,709.0106201,0.1110405102,
708.0028687,0.1079862639,708.0028687,0.2615120411,708.0028687,0.1421105117,708.0028687,0.1097674444,
706.9946899,0.1078813225,706.9946899,0.2602039576,706.9946899,0.1405394524,706.9946899,0.1085541397,
705.9863281,0.1079060733,705.9863281,0.258595854,705.9863281,0.139115572,705.9863281,0.1072576866,
705.0135498,0.1080708802,705.0135498,0.2574955225,705.0135498,0.1379388571,705.0135498,0.105850026,
704.0045166,0.1082792953,704.0045166,0.2565225661,704.0045166,0.1364056617,704.0045166,0.1047896594,
702.9950562,0.1084623188,702.9950562,0.2554215789,702.9950562,0.1352640986,702.9950562,0.1037035361,
